Date,Shift,Excavator,Dumper,Trip Count for Mining,Trip Count for Reclaim,Total Trips,Qty (m3),Grader,Dozer
2025-08-17,A,4,13,0,116,116,1508,1,1
2025-08-17,B,4,13,0,83,83,1079,1,1
2025-08-17,C,4,13,0,74,74,962,1,1
2025-08-17,Total,12,39,0,273,273,3549,3,3
2025-08-18,A,4,13,0,82,82,1066,1,1
2025-08-18,B,4,13,0,148,148,1924,1,1
2025-08-18,C,4,13,0,70,70,910,1,1
2025-08-18,Total,12,39,0,300,300,3900,3,3
2025-08-19,A,4,13,0,63,63,819,1,1
2025-08-19,B,4,13,0,77,77,1001,1,1
2025-08-19,C,4,13,0,1,1,13,1,1
2025-08-19,Total,12,39,0,141,141,1833,3,3
2025-08-20,A,4,13,0,89,89,1157,1,1
2025-08-20,B,4,13,0,0,0,0,1,1
2025-08-20,C,4,13,0,53,53,689,1,1
2025-08-20,Total,12,39,0,142,142,1846,3,3
2025-08-21,A,4,13,0,87,87,1131,1,1
2025-08-21,B,4,13,0,14,14,182,1,1
2025-08-21,C,4,13,0,10,10,130,1,1
2025-08-21,Total,12,39,0,111,111,1443,3,3
2025-08-26,A,4,13,0,78,78,1014,1,1
2025-08-26,B,4,13,0,20,20,260,1,1
2025-08-26,C,4,13,1,0,1,19,1,1
2025-08-26,Total,12,39,1,98,99,1293,3,3
2025-08-27,A,4,13,11,54,65,911,1,1
2025-08-27,B,4,13,5,69,74,992,1,1
2025-08-27,C,4,13,1,82,83,1085,1,1
2025-08-27,Total,12,39,17,205,222,2988,3,3
2025-08-28,A,4,13,2,83,85,1117,1,1
2025-08-28,B,4,13,13,20,33,507,1,1
2025-08-28,C,4,13,19,0,19,361,1,1
2025-08-28,Total,12,39,34,103,137,1985,3,3
2025-08-29,A,4,13,8,60,68,932,1,1
2025-08-29,B,4,13,0,156,156,2028,1,1
2025-08-29,C,4,13,0,87,87,1131,1,1
2025-08-29,Total,12,39,8,303,311,4091,3,3
2025-08-30,A,4,13,0,57,57,741,1,1
2025-08-30,B,4,13,22,40,62,938,1,1
2025-08-30,C,4,13,0,19,19,247,1,1
2025-08-30,Total,12,39,22,116,138,1926,3,3
2025-08-31,A,4,13,4,76,80,1064,1,1
2025-08-31,B,4,13,0,63,63,819,1,1
2025-08-31,C,4,13,0,104,104,1352,1,1
2025-08-31,Total,12,39,4,243,247,3235,3,3
2025-09-01,A,4,13,0,24,24,312,1,1
2025-09-01,B,4,13,0,11,11,143,1,1
2025-09-01,C,4,13,0,0,0,0,1,1
2025-09-01,Total,12,39,0,35,35,455,3,3
2025-09-02,A,4,13,0,55,55,715,1,1
2025-09-02,B,4,13,0,24,24,312,1,1
2025-09-02,C,4,13,0,0,0,0,1,1
2025-09-02,Total,12,39,0,79,79,1027,3,3
2025-09-03,A,4,13,0,48,48,624,1,1
2025-09-03,B,4,13,0,23,23,299,1,1
2025-09-03,C,4,13,0,0,0,0,1,1
2025-09-03,Total,12,39,0,71,71,923,3,3
2025-09-05,A,4,13,0,37,37,481,1,1
2025-09-05,B,4,13,0,65,65,845,1,1
2025-09-05,C,4,13,0,55,55,715,1,1
2025-09-05,Total,12,39,0,157,157,2041,3,3
2025-09-06,A,4,13,0,52,52,676,1,1
2025-09-06,B,4,13,0,0,0,0,1,1
2025-09-06,C,4,13,0,0,0,0,1,1
2025-09-06,Total,12,39,0,52,52,676,3,3
2025-09-07,A,4,13,0,46,46,598,1,1
2025-09-07,B,4,13,0,61,61,793,1,1
2025-09-07,C,4,13,0,0,0,0,1,1
2025-09-07,Total,12,39,0,107,107,1391,3,3
2025-09-08,A,4,13,0,67,67,871,1,1
2025-09-08,B,4,13,0,68,68,884,1,1
2025-09-08,C,4,13,0,34,34,442,1,1
2025-09-08,Total,12,39,0,169,169,2197,3,3
2025-09-09,A,4,13,0,64,64,832,1,1
2025-09-09,B,4,13,0,74,74,962,1,1
2025-09-09,C,4,13,0,69,69,897,1,1
2025-09-09,Total,12,39,0,207,207,2691,3,3
2025-09-10,A,4,13,0,53,53,689,1,1
2025-09-10,B,4,13,0,0,0,0,1,1
2025-09-10,C,4,13,0,53,53,689,1,1
2025-09-10,Total,12,39,0,106,106,1378,3,3
2025-09-11,A,4,13,0,76,76,988,1,1
2025-09-11,B,4,13,4,31,35,479,1,1
2025-09-11,C,4,13,0,23,23,299,1,1
2025-09-11,Total,12,39,4,130,134,1766,3,3
2025-09-12,A,4,13,0,95,95,1235,1,1
2025-09-12,B,4,13,0,68,68,884,1,1
2025-09-12,C,4,13,0,72,72,936,1,1
2025-09-12,Total,12,39,0,235,235,3055,3,3
2025-09-13,A,4,13,0,142,142,1846,1,1
2025-09-13,B,4,13,0,136,136,1768,1,1
2025-09-13,C,4,13,0,57,57,741,1,1
2025-09-13,Total,12,39,0,335,335,4355,3,3
2025-09-14,A,4,13,0,129,129,1677,1,1
2025-09-14,B,4,13,0,137,137,1781,1,1
2025-09-14,C,4,13,0,50,50,650,1,1
2025-09-14,Total,12,39,0,316,316,4108,3,3
2025-09-15,A,4,13,0,43,43,559,1,1
2025-09-15,B,4,13,0,0,0,0,1,1
2025-09-15,C,4,13,0,0,0,0,1,1
2025-09-15,Total,12,39,0,43,43,559,3,3
2025-09-16,A,4,13,0,31,31,403,1,1
2025-09-16,B,4,13,0,66,66,858,1,1
2025-09-16,C,4,13,0,57,57,741,1,1
2025-09-16,Total,12,39,0,154,154,2002,3,3
